"filename", "language", "Python", "JavaScript", "HTML", "Markdown", "JSON", "XML", "PostCSS", "comment", "blank", "total"
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\scripts\telemetry-core.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 7, 3, 16
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\scripts\telemetry-sim.js", "JavaScript", 0, 168, 0, 0, 0, 0, 0, 15, 31, 214
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\scripts\telemetry.js", "JavaScript", 0, 653, 0, 0, 0, 0, 0, 11, 90, 754
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\scripts\test_calculations.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 19, 19, 129
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\scripts\test_telemetry_logic.js", "JavaScript", 0, 160, 0, 0, 0, 0, 0, 8, 30, 198
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\scripts\theme-sync.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 4, 11, 93
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\scripts\week-comparison.js", "JavaScript", 0, 122, 0, 0, 0, 0, 0, 5, 14, 141
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\telemetry.html", "HTML", 0, 0, 406, 0, 0, 0, 0, 11, 16, 433
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\tmp\apply_charts_i18n.py", "Python", 17, 0, 0, 0, 0, 0, 0, 14, 9, 40
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\tmp\apply_charts_i18n_v2.py", "Python", 18, 0, 0, 0, 0, 0, 0, 4, 7, 29
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\tmp\inspect_line.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\xampp\htdocs\DTR_Working_Tree\customDTR.github.io\tmp\update_locales.py", "Python", 57, 0, 0, 0, 0, 0, 0, 2, 7, 66
"Total", "-", 99, 6583, 986, 22, 5215, 339, 2093, 410, 1261, 17008
